transaction_id,amount,hour,day_of_week,customer_age,account_age_days,avg_amount_30d,transaction_count_24h,transaction_count_7d,distance_from_home,distance_from_usual_location,merchant_risk,merchant_category,is_new_device,is_international,is_online,failed_attempts_24h,password_changed_recently,beneficiary_added_recently,amount_deviation,is_fraud
TXN0000001,94.67,8,6,46,3730,99.92,2,17,42.34,34.98,0.2657,Entertainment,0,0,0,0,0,1,0.947,0
TXN0000002,20.17,8,6,56,3817,20.54,4,21,59.41,37.58,0.1019,Groceries,0,0,1,0,0,1,0.982,0
TXN0000003,158.07,0,4,68,4513,38.77,3,16,47.71,45.18,0.2781,Groceries,0,0,1,0,0,0,4.077,0
TXN0000004,196.69,22,6,51,855,24.97,5,14,34.52,30.36,0.3525,Groceries,0,0,1,1,0,0,7.877,0
TXN0000005,7.07,20,6,68,458,61.88,2,16,19.45,7.87,0.0718,Online Services,0,0,0,0,0,0,0.114,0
TXN0000006,14.92,6,3,32,1368,19.42,4,19,32.01,23.11,0.0914,Food,0,0,0,0,0,0,0.768,0
TXN0000007,77.25,3,2,52,4758,90.5,3,13,11.71,6.83,0.0955,Bills,0,0,1,0,0,0,0.854,0
TXN0000008,46.35,20,3,18,3529,132.64,4,15,27.13,19.45,0.2731,Electronics,0,0,0,0,0,0,0.349,0
TXN0000009,65.41,20,0,25,2367,129.03,5,13,85.15,32.63,0.3585,Food,0,1,0,0,0,0,0.507,1
TXN0000010,25.0,21,2,51,1526,75.97,2,5,13.18,6.95,0.2491,Travel,1,0,1,0,0,0,0.329,0
TXN0000011,183.33,13,2,34,1021,63.07,6,19,53.81,31.75,0.1311,Bills,0,0,0,0,0,0,2.907,0
TXN0000012,163.12,17,5,47,1894,39.91,3,16,18.61,20.64,0.1914,Shopping,0,0,1,0,0,0,4.087,0
TXN0000013,71.95,17,1,67,4757,76.43,2,17,43.47,29.23,0.1923,Transport,1,1,0,0,0,0,0.941,0
TXN0000014,243.79,5,4,58,4683,50.28,1,18,17.29,13.11,0.1481,Travel,0,0,0,0,0,0,4.849,0
TXN0000015,114.16,12,2,36,4864,13.43,4,16,69.26,13.74,0.2636,Healthcare,0,0,0,1,0,1,8.5,0
TXN0000016,24.82,6,2,53,3538,34.38,1,8,17.93,47.33,0.1043,Electronics,0,0,1,0,0,0,0.722,0
TXN0000017,101.91,18,0,66,2942,98.91,1,12,66.13,7.37,0.2633,Travel,0,0,0,0,0,0,1.03,0
TXN0000018,22.14,23,3,30,559,23.47,1,12,35.52,25.75,0.1434,Groceries,0,0,1,1,0,0,0.943,0
TXN0000019,183.13,1,0,46,2975,23.13,4,17,57.69,58.19,0.059,Online Services,0,0,0,0,0,0,7.917,0
TXN0000020,62.97,1,1,56,3614,47.0,2,13,11.64,16.38,0.1695,Healthcare,0,0,0,0,0,0,1.34,0
TXN0000021,53.91,6,3,52,2118,10.73,4,18,12.28,16.82,0.1177,Bills,0,0,1,0,0,0,5.024,0
TXN0000022,30.48,2,4,43,3975,94.37,2,18,15.8,12.66,0.1093,Travel,0,0,1,0,0,0,0.323,0
TXN0000023,272.03,0,2,40,2961,88.31,4,14,32.0,71.85,0.2432,Online Services,0,0,0,1,0,0,3.08,0
TXN0000024,55.83,23,1,47,4569,111.09,3,16,17.82,19.7,0.1529,Electronics,0,0,1,0,0,0,0.503,0
TXN0000025,40.75,13,6,43,562,64.45,4,19,69.11,43.17,0.4095,Bills,0,0,1,0,0,0,0.632,0
TXN0000026,44.48,18,2,36,3435,28.8,2,12,46.37,24.19,0.1695,Electronics,0,0,1,1,0,0,1.544,0
TXN0000027,123.0,13,2,63,1741,21.7,0,7,11.11,8.29,0.2821,Travel,1,1,0,0,0,0,5.668,0
TXN0000028,101.52,17,0,59,505,82.53,2,15,13.69,25.12,0.0927,Electronics,0,0,0,1,0,0,1.23,0
TXN0000029,107.19,16,2,51,1544,93.37,3,16,25.26,30.25,0.0643,Shopping,0,0,1,0,0,0,1.148,0
TXN0000030,109.45,3,1,28,3833,23.63,2,16,31.16,17.51,0.3521,Transport,0,0,1,0,0,0,4.632,0
TXN0000031,782.81,3,2,44,951,21.37,7,21,47.47,22.22,0.2963,Healthcare,0,0,1,0,0,0,36.631,0
TXN0000032,41.79,11,1,28,3291,53.82,4,12,54.45,60.23,0.1609,Travel,0,0,0,0,0,0,0.776,0
TXN0000033,37.0,8,1,26,1031,60.49,5,11,20.15,17.69,0.1015,Transport,0,0,1,1,0,0,0.612,0
TXN0000034,26.16,20,5,30,2296,110.07,2,14,35.76,14.81,0.1632,Food,0,0,0,0,0,0,0.238,0
TXN0000035,135.42,7,3,26,752,89.73,1,16,62.33,65.54,0.3158,Entertainment,1,0,1,1,0,0,1.509,0
TXN0000036,244.28,7,4,59,3809,51.42,2,14,36.27,32.09,0.0858,Entertainment,0,1,0,1,0,0,4.751,0
TXN0000037,58.5,12,4,44,4364,118.7,2,9,41.43,6.55,0.3451,Online Services,0,0,0,1,0,0,0.493,0
TXN0000038,25.38,4,3,55,2639,42.01,1,15,13.51,37.64,0.0724,Bills,0,0,1,1,0,0,0.604,0
TXN0000039,25.84,20,3,68,1978,43.32,6,19,38.86,55.69,0.229,Groceries,0,0,1,0,0,0,0.596,0
TXN0000040,140.92,0,2,32,4663,103.15,1,15,71.71,31.72,0.0724,Groceries,1,0,1,0,0,0,1.366,0
TXN0000041,156.76,20,1,28,4732,111.96,3,15,20.71,10.74,0.3204,Shopping,0,0,0,0,0,0,1.4,0
TXN0000042,124.54,14,6,25,4660,114.18,2,7,28.57,20.74,0.0378,Bills,0,0,0,1,0,0,1.091,0
TXN0000043,31.02,21,2,18,3922,47.72,5,19,59.79,11.78,0.5242,Electronics,0,0,1,2,0,0,0.65,0
TXN0000044,87.09,7,6,19,1150,57.61,5,22,142.33,34.39,0.5063,Groceries,0,0,1,0,1,0,1.512,0
TXN0000045,76.26,21,5,48,827,28.51,3,17,18.92,50.51,0.4793,Online Services,1,0,0,0,0,0,2.675,0
TXN0000046,85.75,20,4,53,2219,107.23,2,12,69.81,1.51,0.1386,Bills,0,0,1,0,0,0,0.8,0
TXN0000047,181.66,10,5,33,2852,35.04,6,28,38.78,63.87,0.3105,Food,0,0,1,0,0,0,5.184,0
TXN0000048,86.24,6,4,46,1016,12.21,1,8,34.56,33.44,0.2729,Groceries,0,1,0,0,0,0,7.063,0
TXN0000049,145.58,4,5,28,753,39.22,4,14,58.48,23.37,0.2787,Bills,0,0,0,0,0,0,3.712,0
TXN0000050,72.08,3,5,54,1673,28.74,4,18,38.34,8.61,0.2844,Healthcare,0,0,1,1,0,0,2.508,0
TXN0000051,92.99,13,4,54,1773,7.17,2,15,8.74,37.09,0.1405,Shopping,0,0,1,0,0,0,12.969,0
TXN0000052,137.82,23,5,54,1138,35.51,2,21,71.65,29.07,0.1471,Food,0,0,0,0,0,0,3.881,0
TXN0000053,12.48,13,5,44,2324,98.18,2,23,22.93,27.22,0.3899,Groceries,0,0,0,0,0,0,0.127,0
TXN0000054,46.17,23,1,61,2574,74.46,2,15,19.82,23.2,0.2896,Travel,0,0,0,1,0,0,0.62,0
TXN0000055,38.83,18,6,22,511,74.36,3,13,65.8,12.81,0.2437,Food,0,0,0,0,0,0,0.522,0
TXN0000056,31.99,16,3,39,33,159.06,1,14,31.59,31.45,0.1707,Shopping,0,0,0,0,0,1,0.201,0
TXN0000057,48.6,17,0,21,209,35.37,2,18,39.5,42.2,0.3652,Bills,0,0,1,1,0,0,1.374,0
TXN0000058,372.11,22,1,61,3963,23.13,2,12,127.29,36.64,0.3318,Travel,0,0,1,1,0,0,16.088,0
TXN0000059,24.64,20,5,21,4037,79.08,6,23,54.97,14.07,0.1088,Electronics,0,0,1,0,0,0,0.312,0
TXN0000060,203.06,3,5,40,819,71.36,3,15,51.79,2.28,0.3455,Electronics,0,0,1,2,0,0,2.846,0
TXN0000061,9.63,14,4,27,4712,21.12,5,15,13.74,13.47,0.2137,Transport,0,0,1,1,0,0,0.456,0
TXN0000062,45.37,11,4,54,1392,47.84,2,11,52.13,30.55,0.3388,Online Services,0,0,0,0,0,1,0.948,0
TXN0000063,80.41,21,6,38,4480,81.77,2,15,40.58,13.42,0.1747,Healthcare,0,0,1,0,0,0,0.983,0
TXN0000064,130.86,4,6,46,899,67.09,3,16,21.18,27.11,0.0929,Entertainment,0,0,1,0,0,0,1.951,0
TXN0000065,151.1,19,5,68,4092,94.53,3,12,62.47,7.89,0.2406,Entertainment,0,0,1,0,0,0,1.598,0
TXN0000066,166.06,11,0,65,1789,32.98,1,15,20.77,31.28,0.046,Shopping,0,0,0,0,0,0,5.035,0
TXN0000067,44.65,22,5,40,3916,18.84,4,17,12.62,26.68,0.264,Healthcare,0,0,0,1,0,0,2.37,0
TXN0000068,39.19,18,3,37,412,27.52,3,21,32.99,5.59,0.4416,Electronics,0,1,0,0,0,0,1.424,0
TXN0000069,178.87,8,5,33,2875,104.4,2,14,33.1,13.76,0.44,Transport,0,0,0,0,0,0,1.713,1
TXN0000070,53.52,20,5,53,4298,118.72,3,17,22.76,24.27,0.2408,Bills,0,0,0,0,0,0,0.451,0
TXN0000071,15.38,4,4,69,662,48.15,0,16,21.43,20.59,0.2612,Shopping,0,0,0,0,0,0,0.319,0
TXN0000072,18.11,0,6,49,2092,169.77,1,15,42.41,16.4,0.1693,Shopping,0,0,1,0,0,0,0.107,0
TXN0000073,23.16,12,1,47,4463,48.35,4,16,14.16,11.68,0.5549,Bills,0,0,0,1,0,0,0.479,0
TXN0000074,118.12,9,5,69,4623,37.18,4,22,17.98,17.31,0.4241,Electronics,0,0,1,0,1,0,3.177,0
TXN0000075,78.55,3,2,27,2515,18.95,4,13,15.2,16.47,0.1442,Travel,0,0,1,2,0,0,4.145,0
TXN0000076,147.53,23,1,22,263,51.58,2,5,96.46,29.08,0.1254,Travel,0,1,0,0,0,0,2.86,0
TXN0000077,40.8,0,5,22,4718,120.95,5,21,0.51,12.95,0.2914,Online Services,0,0,0,0,0,0,0.337,0
TXN0000078,80.02,14,6,49,887,141.37,1,16,11.87,54.66,0.2217,Food,0,0,0,1,0,0,0.566,0
TXN0000079,136.92,6,0,64,2069,121.75,1,16,61.93,35.77,0.1625,Entertainment,0,0,0,0,0,0,1.125,0
TXN0000080,46.72,7,6,30,4184,79.41,3,20,86.39,11.31,0.4281,Healthcare,0,1,1,0,0,0,0.588,0
TXN0000081,112.76,5,2,55,576,180.83,4,14,48.15,12.36,0.4035,Electronics,0,0,0,0,0,1,0.624,0
TXN0000082,31.15,9,6,63,2335,26.4,5,14,85.94,49.65,0.1343,Bills,0,0,0,0,1,0,1.18,0
TXN0000083,43.93,16,0,65,3124,132.79,2,15,14.25,38.61,0.1126,Groceries,0,0,1,1,0,0,0.331,0
TXN0000084,42.99,7,4,59,325,67.42,2,14,95.57,6.81,0.1975,Transport,0,0,0,2,0,0,0.638,0
TXN0000085,16.86,17,3,37,2436,63.94,3,15,28.14,42.05,0.2416,Entertainment,0,0,1,0,0,0,0.264,0
TXN0000086,116.75,10,5,52,261,18.78,1,7,24.92,34.14,0.0593,Entertainment,0,0,0,0,0,0,6.217,0
TXN0000087,38.87,18,3,46,3242,70.53,5,22,70.92,6.17,0.4581,Bills,0,0,1,0,0,0,0.551,0
TXN0000088,67.65,10,0,42,4477,129.74,3,15,9.43,18.89,0.2075,Transport,0,1,1,0,0,0,0.521,0
TXN0000089,115.92,8,1,54,1041,11.06,3,15,37.59,37.99,0.1962,Healthcare,0,0,1,2,0,0,10.481,1
TXN0000090,111.44,12,1,53,1330,99.15,6,21,69.29,12.04,0.1095,Bills,0,0,1,0,0,0,1.124,0
TXN0000091,143.34,16,6,60,673,9.84,2,16,47.63,24.06,0.5287,Bills,0,0,0,0,1,0,14.567,0
TXN0000092,59.55,11,0,46,2072,18.86,4,11,68.68,27.67,0.1472,Shopping,1,0,1,0,0,0,3.157,0
TXN0000093,40.99,21,5,52,49,50.87,3,16,67.51,9.64,0.3127,Transport,1,0,0,0,0,0,0.806,0
TXN0000094,60.84,12,3,32,4488,178.94,1,10,9.74,12.77,0.1001,Transport,0,0,1,0,0,0,0.34,0
TXN0000095,9.58,7,3,42,505,49.6,1,13,26.86,51.07,0.4872,Groceries,0,0,1,0,0,1,0.193,0
TXN0000096,12.63,0,6,60,3348,77.67,2,11,55.2,5.19,0.1848,Food,0,0,1,0,0,0,0.163,1
TXN0000097,14.57,9,5,58,1623,27.59,5,22,20.95,20.5,0.1361,Transport,0,0,0,0,0,0,0.528,0
TXN0000098,21.18,1,4,44,3859,47.2,2,15,25.51,14.82,0.1346,Bills,0,1,0,3,0,0,0.449,1
TXN0000099,105.61,0,5,47,284,52.4,2,10,99.7,15.36,0.0806,Online Services,0,0,1,1,0,0,2.015,0
TXN0000100,23.54,8,3,31,2373,185.29,2,17,37.26,30.05,0.3318,Electronics,0,0,1,0,0,0,0.127,0
TXN0000101,43.17,6,6,37,491,31.17,4,13,33.77,9.44,0.4029,Entertainment,0,0,1,1,1,0,1.385,0
TXN0000102,297.11,21,5,52,3485,33.3,3,13,22.29,90.39,0.0944,Food,0,0,0,1,0,0,8.922,0
TXN0000103,44.27,17,6,24,985,122.44,3,15,28.47,15.34,0.1968,Groceries,0,0,1,0,0,0,0.362,0
TXN0000104,155.73,18,3,18,2934,45.37,4,20,40.53,4.88,0.1409,Groceries,0,0,1,1,0,0,3.432,0
TXN0000105,22.79,13,4,49,2052,59.43,5,18,112.19,21.26,0.2919,Travel,0,1,1,0,0,0,0.383,1
TXN0000106,52.65,2,3,55,876,75.67,3,16,27.32,6.41,0.2843,Groceries,0,0,1,0,0,0,0.696,0
TXN0000107,22.36,20,6,68,987,33.87,4,10,43.98,14.87,0.0892,Travel,0,0,1,0,0,0,0.66,0
TXN0000108,45.16,11,4,42,2876,11.71,6,12,26.23,6.1,0.2794,Groceries,0,0,1,0,0,0,3.857,0
TXN0000109,175.27,10,1,24,1100,122.29,2,13,13.74,17.15,0.2046,Healthcare,0,1,0,1,0,0,1.433,0
TXN0000110,9.15,14,3,50,4630,59.57,3,13,56.57,13.67,0.1953,Healthcare,0,0,0,0,0,0,0.154,0
TXN0000111,109.9,3,0,34,3824,20.95,2,16,19.09,36.84,0.0623,Food,0,0,0,1,0,0,5.246,0
TXN0000112,87.65,11,4,26,1745,97.86,1,13,62.66,27.97,0.1659,Electronics,0,0,1,1,0,0,0.896,0
